firm,country,ticker,n_obs,beta_rate,beta_fx,r2,beta_rate_z,beta_fx_z
TR_DGGYO,TR,DGGYO,8,-0.000869513365317702,0.3661339441798291,0.4168820431871878,-0.1977479969410951,0.07646212283750368
TR_DGNMO,TR,DGNMO,6,0.010179193682909855,0.965926037090507,0.3381347001256021,0.5022121093658087,1.538301020870653
TR_DIRIT,TR,DIRIT,10,0.0025231527011771713,0.09219170115534552,0.04054247079674189,0.017184925997479245,-0.5912016083135458
TR_DITAS,TR,DITAS,7,0.02016308126864747,-0.49516287037429785,0.8602911048277947,1.1347135401092505,-2.022727248194719
TR_DOAS,TR,DOAS,10,0.0005141691388128129,-0.13320989244895504,0.14941289853407802,-0.11008864019839194,-1.1405599961682793
TR_DOKTA,TR,DOKTA,10,0.0011233409303042596,0.5030908476392022,0.30139988538501905,-0.0714962555808703,0.4102593355675119
TR_DUNYH,TR,DUNYH,6,-0.021531100043159866,1.3446550919625286,0.4867887326802218,-1.506705356780929,2.461355643916011
TR_DURDO,TR,DURDO,7,0.0018711974833822002,0.6598361067961058,0.3154822783986114,-0.024117883603967785,0.7922855737026181
TR_DYOBY,TR,DYOBY,6,-0.0032759711907269146,0.8026275165692861,0.5875110973422875,-0.350202439614252,1.1403028943352715
TR_ECILC,TR,ECILC,7,-0.006680708745837021,-0.3693815733031414,0.08232399505721921,-0.5659001181407444,-1.716167700516484
TR_EDIP,TR,EDIP,7,0.010197695860821044,0.30146540119196297,0.5464512099816956,0.5033842633889986,-0.08115081127109894
TR_EGPRO,TR,EGPRO,6,0.0035800475404235347,0.5102343125396178,0.3927150124101212,0.08414155909535646,0.4276696932257566
TR_EKGYO,TR,EKGYO,7,-0.00016326550193454872,0.4367878797775329,0.12604548129689497,-0.15300562777745627,0.24866291137179633
TR_EKIZ,TR,EKIZ,7,0.008937206177625778,0.30132916787952485,0.5421678823746394,0.4235294451919994,-0.08148284491689693
TR_EMNIS,TR,EMNIS,6,0.011338657118841048,0.6139440512840721,0.4746423035719469,0.575666690642227,0.6804354965656757
TR_ENJSA,TR,ENJSA,7,0.0008491929132139881,0.010489289713010082,0.044804767271060086,-0.08886414074143459,-0.7903302139107209
TR_ENKAI,TR,ENKAI,7,0.006650265133668789,0.1496832252624637,0.7786920717640651,0.2786466558069236,-0.45108081105670084
TR_FENER,TR,FENER,8,0.004705083162588753,-0.04607419254005616,0.16133852134214044,0.15541506198148358,-0.9281891479364716
TR_FLAP,TR,FLAP,6,-0.0012353749513851731,0.07114395823659354,0.035150242635921924,-0.22092614018985482,-0.6425000660259844
TR_FRIGO,TR,FRIGO,6,0.01644958385454057,-0.1886320865791316,0.38587008163214964,0.8994552394408786,-1.2756373340515947
TR_FROTO,TR,FROTO,7,0.020169664302641326,0.3910255827714556,0.880644404110539,1.1351305899191555,0.13712908720584127
TR_GEDIK,TR,GEDIK,9,0.0018289945707651344,0.21019230690288437,0.4024966852884341,-0.026791531757815908,-0.30360549373969975
TR_GEREL,TR,GEREL,6,0.018909885342134496,0.5830416152722785,0.8524199853189743,1.0553207975814158,0.6051187600832096
TR_GLYHO,TR,GLYHO,6,-0.010064051156834796,0.2802959074118743,0.5598550397910521,-0.7802423668163093,-0.13274600538115697
TR_GOLTS,TR,GOLTS,7,0.0212574804687527,0.20949956936649577,0.5805088023625148,1.2040461576819765,-0.30529386324104846
TR_GSDDE,TR,GSDDE,7,-0.04220470347215109,1.3446550919625286,0.8865137329612328,-2.816424004468748,2.461355643916011
TR_GSDHO,TR,GSDHO,7,0.0032584343584475027,-0.026958640581909554,0.35441030190017264,0.06376665042387003,-0.8815999085315533
TR_GSRAY,TR,GSRAY,7,0.005238446538437788,-0.14296015316426142,0.22464650917965268,0.18920481526482275,-1.164323747888364
TR_GUBRF,TR,GUBRF,8,-0.006623904457668765,0.10187531433483539,0.1038063323306746,-0.5623014404482881,-0.5676002928133883
TR_HATEK,TR,HATEK,6,0.032179881547735656,-0.123608124767937,0.941094347925265,1.8960045005903452,-1.1171581580115364
TR_HEKTS,TR,HEKTS,7,0.032179881547735656,1.0392860533545842,0.5124757675603682,1.8960045005903452,1.7170971847459626
TR_HLGYO,TR,HLGYO,11,-0.001427893766479918,0.17623039524270542,0.14799622977055815,-0.23312263428564262,-0.3863789149021702
TR_HURGZ,TR,HURGZ,10,-0.013756284568245639,-0.24158594735703667,0.11668790017570896,-1.0141535457334505,-1.4046987444988672
