total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,total_debt,total_liabilities,total_debt_lag,debt_to_assets,leverage,st_debt_share,implied_rate,icr,roa,current_ratio,altman_z,country,source
,,,,,,,,,,,,,,,BMP,2021,,,,,,,,,,,,VN,yahoo
3044791993793.0,2215147283810.0,358572233870.0,403473029077.0,2621318604133.0,55160000000.0,0.0,55160000000.0,598876151383.0,5808344375260.0,871370057296.0,1041516835777.0,27578302.0,871342478994.0,694268766316.0,BMP,2022,55160000000.0,423473389660.0,,0.01811618005842341,0.13908122148352897,1.0,0.0004999692168237853,31596.218552396735,0.28618377185447896,5.490199156254518,16.21715510206973,VN,yahoo
3255000928111.0,2593900147858.0,821414457106.0,546150418753.0,2689728981899.0,55170000000.0,0.0,55170000000.0,667286529149.0,5156984370216.0,1307221558088.0,1479330256535.0,38676662.0,1307182881426.0,1041006333282.0,BMP,2023,55170000000.0,565271946212.0,55160000000.0,0.01694930392293843,0.17366260676922407,1.0,0.0007011087102329375,33798.71712010721,0.40160405080026507,4.749424442043883,15.740250912625665,VN,yahoo
3200494976288.0,2596113208905.0,504172685550.0,480999507110.0,2701698690635.0,54900000000.0,0.0,54900000000.0,679256237885.0,4615678655546.0,1240553716921.0,1351666832461.0,20863234.0,1240532853687.0,990761729138.0,BMP,2024,54900000000.0,498796285653.0,55170000000.0,0.017153596680121695,0.15584973241592592,1.0,0.0003790902879985464,59461.237741042445,0.3876130805116338,5.397330289386957,16.569216595308482,VN,yahoo
3378833589624.0,2758363782639.0,297407970324.0,483661960403.0,2877457822179.0,54900000000.0,0.0,54900000000.0,855015369429.0,5509577971238.0,1538932425044.0,1631457545028.0,13860002.0,1538918565042.0,1228735173562.0,BMP,2025,54900000000.0,501375767445.0,54900000000.0,0.016248210675006734,0.1483872330927057,1.0,0.00025245905282331513,111034.06947877785,0.4554626276268474,5.703081921804762,17.578063732264198,VN,yahoo
,,,,,,942639040000.0,,,,,,,,,BSR,2021,942639040000.0,,,,,,,,,,,VN,yahoo
78487929061850.0,58471339394419.0,20118466780839.0,26015466987812.0,51255405261819.0,8954405974915.0,,8954405974915.0,14651541651825.0,167123712786024.0,15838597736664.0,18030661409959.0,252789589546.0,15585808147118.0,14725833852993.0,BSR,2022,8954405974915.0,27232523800031.0,942639040000.0,0.11408640897963757,0.34696448390900014,1.0,0.05108385162743873,62.655261101177025,0.20179660650980968,2.247560630828279,9.903525127385667,VN,yahoo
86594660994410.0,68680527655901.0,14265991551227.0,28442061214665.0,57393254965084.0,10970334445963.0,,10970334445963.0,16340184316581.0,147423365943576.0,9926989781857.0,12197271900973.0,287654759616.0,9639335022241.0,8649771483353.0,BSR,2023,10970334445963.0,29201406029326.0,8954405974915.0,0.12668603722198502,0.3372194739720854,1.0,0.028874128700274858,34.510083528980616,0.11463743454689225,2.4147521214281285,9.74749114543656,VN,yahoo
88386867728798.0,71515534342682.0,26260258222871.0,31984096504586.0,55505716940680.0,15856525639874.0,,15856525639874.0,11826112139950.0,123027063879559.0,996792237073.0,3217577307301.0,260793426455.0,735998810618.0,631130749304.0,BSR,2024,15856525639874.0,32881150788118.0,10970334445963.0,0.17939911264337818,0.37201398389870466,1.0,0.019442709703673712,3.8221524622860725,0.011277605629509456,2.2359716908816805,8.468436705086134,VN,yahoo
85068637113074.0,70173060674346.0,7625712976948.0,23726837131723.0,60453304875674.0,10504160808529.0,,10504160808529.0,7386664909835.0,141582149107302.0,6278344360573.0,8480242777619.0,273642324293.0,6004702036280.0,5213612063223.0,BSR,2025,10504160808529.0,24615332237400.0,15856525639874.0,0.12347865400225908,0.2893584883072839,1.0,0.020761395939260754,22.943615819643895,0.07380327901842094,2.9575396115702235,10.189409982132428,VN,yahoo
,,,,,,,,,,,,,,,BWE,2021,,,,,,,,,,,,VN,yahoo
