total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
14792322181540.0,7567074179250.0,893806431750.0,6366334342620.0,7333649968780.0,4342954811300.0,480270294410.0,4972060751710.0,7600981483810.0,12052918410240.0,410497500120.0,763191528120.0,117986624000.0,292510876120.0,190929712010.0,010130,2024
12046071311650.0,5571656932730.0,676775222860.0,1902819300920.0,9390228169610.0,693464959820.0,168921734830.0,925867558650.0,7843381808490.0,9704521343020.0,770457388470.0,1089425187470.0,42384127000.0,728073261470.0,527261488010.0,010130,2023
12097918358970.0,6071090869900.0,780981792300.0,2319116608590.0,9042713294580.0,803783128260.0,208873892280.0,1049820747540.0,7953409019050.0,11219358600100.0,915852282490.0,1219600606490.0,34371532000.0,881480750490.0,780610169410.0,010130,2022
,,,,,,,,,,,,,,,010130,2021
39542213288000.0,23424477841000.0,3742015549000.0,20010814307000.0,13286077746000.0,252311444000.0,791874588000.0,1498001884000.0,16667529658000.0,29933215227000.0,3725068564000.0,4308662564000.0,158762000000.0,3566306564000.0,2168412429000.0,009540,2025
36719137422000.0,20431356435000.0,3717318959000.0,19325058391000.0,11099427059000.0,562278960000.0,853750844000.0,1899383454000.0,15083879465000.0,25538577356000.0,2028985072000.0,2554758072000.0,206322000000.0,1822663072000.0,1172335951000.0,009540,2024
32242568184000.0,17735127271000.0,3018390965000.0,17497867505000.0,9903690500000.0,2220090996000.0,1695642746000.0,4013955466000.0,14374459760000.0,21296205574000.0,185833316000.0,657777316000.0,193879000000.0,-8045684000.0,221711002000.0,009540,2023
29883476300000.0,15775914217000.0,2697222866000.0,15033482523000.0,9714919162000.0,2440752000000.0,1436946131000.0,3981722808000.0,14300366736000.0,17302020185000.0,-265249252000.0,155926748000.0,165846000000.0,-431095252000.0,-216949612000.0,009540,2022
,,,,,,,,,,,,,,,009540,2021
105287678000000.0,43584798000000.0,7049800000000.0,23070658000000.0,55759204000000.0,10814854000000.0,16374578000000.0,29832654000000.0,53197035000000.0,68986938000000.0,2230620000000.0,6389843000000.0,1091462000000.0,1139158000000.0,690686000000.0,005490,2025
103443735000000.0,44065460000000.0,6767898000000.0,22741063000000.0,55390219000000.0,9792745000000.0,14881620000000.0,26903468000000.0,53644899000000.0,73459408000000.0,2377741000000.0,6362200000000.0,1051511000000.0,1326230000000.0,1125380000000.0,005490,2024
101486316000000.0,46731890000000.0,6670879000000.0,22467736000000.0,54146374000000.0,9969129000000.0,15011162000000.0,26894699000000.0,53813583000000.0,77056549000000.0,3636716000000.0,7481370000000.0,1001290000000.0,2635426000000.0,1698202000000.0,005490,2023
